isbn,rating,user_id
isbn002542730X,10,277427
isbn006016848X,0,277427
isbn0060391626,0,277427
isbn0345380371,1,277427
isbn034538184X,1,277427
isbn0345384466,0,277427
isbn034538475X,0,277427
isbn0345386108,0,277427
isbn0345387651,0,277427
isbn0345391055,0,277427
isbn0345402871,0,277427
isbn034540288X,0,277427
isbn0345404114,0,277427
isbn0345413350,0,277427
isbn0345413865,0,277427
isbn0345413873,0,277427
isbn034541389X,0,277427
isbn0345413903,10,277427
isbn0345417623,0,277427
isbn0345422317,0,277427
isbn0345427637,0,277427
isbn0345438329,0,277427
isbn0345439104,0,277427
isbn0345443284,0,277427
isbn0345445848,0,277427
isbn0345447840,0,277427
isbn0345465083,0,277427
isbn0373218036,0,277427
isbn0373218192,0,277427
isbn0373218397,0,277427
isbn0373483503,0,277427
isbn0373483694,0,277427
isbn0373484003,0,277427
isbn0373484224,0,277427
isbn0373825013,0,277427
isbn0374199698,0,277427
isbn0375502238,0,277427
isbn0375700757,0,277427
isbn0375702709,0,277427
isbn0375703055,0,277427
isbn0375703063,0,277427
isbn0375703861,0,277427
isbn037570504X,0,277427
isbn0375705856,0,277427
isbn0375706771,0,277427
isbn0375707972,0,277427
isbn0375725784,0,277427
isbn0375726403,0,277427
isbn0375727345,0,277427
isbn0375760911,0,277427
isbn0380002930,0,277427
isbn0380018179,0,277427
isbn0380710218,0,277427
isbn0380710722,0,277427
isbn0380717018,0,277427
isbn0380718332,0,277427
isbn0380718340,0,277427
isbn0380730138,0,277427
isbn0380731851,0,277427
isbn0380789019,0,277427
isbn0380789035,0,277427
isbn038079487X,0,277427
isbn0380813815,0,277427
isbn0385265700,0,277427
isbn0385335482,0,277427
isbn0385335881,0,277427
isbn0385336179,0,277427
isbn0385420161,0,277427
isbn038542017X,0,277427
isbn0385474016,0,277427
isbn0385479565,0,277427
isbn0385484518,0,277427
isbn0385486804,9,277427
isbn0385492081,0,277427
isbn038550120X,0,277427
isbn0385503822,0,277427
isbn0385504209,8,277427
isbn0385505833,0,277427
isbn0385508042,0,277427
isbn038550926X,0,277427
isbn0385720106,0,277427
isbn0385721420,0,277427
isbn038572179X,0,277427
isbn0385722206,0,277427
isbn0399501487,9,277427
isbn0425083837,0,277427
isbn0425092917,0,277427
isbn042510107X,0,277427
isbn0425107469,0,277427
isbn0425109720,0,277427
isbn0425115801,0,277427
isbn0425116840,8,277427
isbn042511774X,0,277427
isbn0425121631,0,277427
isbn0425122123,0,277427
isbn0425124347,0,277427
isbn0425133540,0,277427
isbn042513525X,0,277427
isbn042513699X,0,277427
isbn0425143325,0,277427
isbn0425144429,0,277427
isbn0425147363,0,277427
isbn0425147584,0,277427
isbn0425147622,0,277427
isbn0425152251,0,277427
isbn0425154092,0,277427
isbn0425155404,0,277427
isbn0425158616,0,277427
isbn0425158632,0,277427
isbn042516098X,0,277427
isbn0425162443,0,277427
isbn0425163407,0,277427
isbn0425167313,0,277427
isbn0425169863,0,277427
isbn0425172546,0,277427
isbn0425174271,0,277427
isbn0425175405,0,277427
isbn0425178579,0,277427
isbn0425180638,0,277427
isbn0425182878,0,277427
isbn0425182908,0,277427
isbn042518630X,0,277427
isbn0439064864,0,277427
isbn0439064872,0,277427
isbn0439136350,0,277427
isbn0439136369,0,277427
isbn0439139597,0,277427
isbn0439139600,0,277427
isbn043935806X,0,277427
isbn0440122090,0,277427
isbn0440176484,0,277427
isbn0440193613,0,277427
isbn0440200563,0,277427
isbn0440200989,0,277427
isbn0440201926,0,277427
isbn0440202043,0,277427
isbn0440203856,0,277427
isbn0440206154,0,277427
isbn0440207622,0,277427
isbn0440211263,0,277427
isbn044021145X,0,277427
isbn0440211727,0,277427
isbn0440212561,0,277427
isbn0440213290,0,277427
isbn0440213525,0,277427
isbn0440214041,0,277427
isbn0440215625,0,277427
isbn0440219078,0,277427
isbn0440220602,0,277427
isbn044022103X,0,277427
isbn0440221471,0,277427
isbn0440221595,0,277427
isbn044022165X,0,277427
isbn0440222656,0,277427
isbn0440223202,0,277427
isbn0440224594,0,277427
isbn0440224624,0,277427
isbn0440224675,0,277427
isbn0440224764,7,277427
isbn0440225701,0,277427
isbn0440226104,0,277427
isbn0440226430,0,277427
isbn0440234743,0,277427
isbn0440235162,0,277427
isbn0440235596,0,277427
isbn0440236673,0,277427
isbn0440236703,0,277427
isbn044023722X,0,277427
isbn0440241073,0,277427
isbn0440241162,0,277427
isbn0440241537,0,277427
isbn0440414806,0,277427
isbn0440498058,0,277427
isbn0440998050,0,277427
isbn0441003257,0,277427
isbn0446310786,0,277427
isbn0446359866,0,277427
isbn0446360589,0,277427
isbn0446363251,0,277427
isbn0446364193,0,277427
isbn0446364800,0,277427
isbn0446394521,0,277427
isbn044651652X,0,277427
isbn0446516538,0,277427
isbn044651862X,0,277427
isbn0446532231,0,277427
isbn0446601241,0,277427
isbn0446603589,0,277427
isbn0446603716,0,277427
isbn0446604666,0,277427
isbn0446604801,0,277427
isbn0446605239,0,277427
isbn0446605484,0,277427
isbn0446606189,0,277427
isbn0446606324,0,277427
isbn0446606812,0,277427
isbn0446607657,0,277427
isbn0446607711,0,277427
isbn0446608815,0,277427
isbn0446608890,10,277427
